Treatment.ID,Plate.ID,Worm,Death.Date,Cause ,D1,Age ,Event,Inf
F,26,1,23-Sep,L,04-Sep,19,0,0
F,26,2,24-Sep,D,04-Sep,20,1,0
F,26,3,24-Sep,D,04-Sep,20,1,0
F,26,4,25-Sep,D,04-Sep,21,1,0
F,26,5,26-Sep,D,04-Sep,22,1,0
F,26,6,26-Sep,D,04-Sep,22,1,0
F,26,7,27-Sep,D,04-Sep,23,1,0
F,26,8,28-Sep,D,04-Sep,24,1,0
F,26,9,29-Sep,D,04-Sep,25,1,0
F,26,10,01-Oct,D,04-Sep,27,1,0
DR,27,1,20-Sep,L,04-Sep,16,0,0
DR,27,2,26-Sep,D,04-Sep,22,1,0
DR,27,3,27-Sep,D,04-Sep,23,1,0
DR,27,4,27-Sep,D,04-Sep,23,1,0
DR,27,5,27-Sep,D,04-Sep,23,1,0
DR,27,6,30-Sep,D,04-Sep,26,1,0
DR,27,7,01-Oct,D,04-Sep,27,1,0
DR,27,8,02-Oct,D,04-Sep,28,1,0
DR,27,9,02-Oct,D,04-Sep,28,1,0
DR,27,10,05-Oct,D,04-Sep,31,1,0
DRO,28,1,10-Sep,W,04-Sep,6,0,0
DRO,28,2,14-Sep,M,04-Sep,10,1,0
DRO,28,3,21-Sep,D,04-Sep,17,1,0
DRO,28,4,24-Sep,L,04-Sep,20,0,0
DRO,28,5,28-Sep,D,04-Sep,24,1,0
DRO,28,6,29-Sep,D,04-Sep,25,1,0
DRO,28,7,30-Sep,D,04-Sep,26,1,0
DRO,28,8,30-Sep,D,04-Sep,26,1,0
DRO,28,9,01-Oct,D,04-Sep,27,1,0
DRO,28,10,05-Oct,D,04-Sep,31,1,0
FO,29,1,13-Sep,M,04-Sep,9,1,0
FO,29,2,13-Sep,L,04-Sep,9,0,0
FO,29,3,18-Sep,M,04-Sep,14,1,0
FO,29,4,20-Sep,E,04-Sep,16,0,0
FO,29,5,24-Sep,D,04-Sep,20,1,0
FO,29,6,24-Sep,D,04-Sep,20,1,0
FO,29,7,26-Sep,D,04-Sep,22,1,0
FO,29,8,26-Sep,D,04-Sep,22,1,0
FO,29,9,29-Sep,D,04-Sep,25,1,0
FO,29,10,30-Sep,D,04-Sep,26,1,0
F,30,1,16-Sep,M,04-Sep,12,1,0
F,30,2,20-Sep,E,04-Sep,16,0,0
F,30,3,21-Sep,D,04-Sep,17,1,0
F,30,4,25-Sep,D,04-Sep,21,1,0
F,30,5,28-Sep,D,04-Sep,24,1,0
F,30,6,28-Sep,D,04-Sep,24,1,0
F,30,7,28-Sep,D,04-Sep,24,1,0
F,30,8,30-Sep,D,04-Sep,26,1,0
F,30,9,30-Sep,D,04-Sep,26,1,0
F,30,10,04-Oct,D,04-Sep,30,1,0
F,31,1,05-Sep,L,04-Sep,1,0,0
F,31,2,08-Sep,L,04-Sep,4,0,0
F,31,3,13-Sep,W,04-Sep,9,0,0
F,31,4,20-Sep,D,04-Sep,16,1,0
F,31,5,24-Sep,D,04-Sep,20,1,0
F,31,6,27-Sep,D,04-Sep,23,1,0
F,31,7,27-Sep,D,04-Sep,23,1,0
F,31,8,27-Sep,D,04-Sep,23,1,0
F,31,9,28-Sep,D,04-Sep,24,1,0
F,31,10,02-Oct,D,04-Sep,28,1,0
DR,32,1,14-Sep,M,04-Sep,10,1,0
DR,32,2,22-Sep,D,04-Sep,18,1,0
DR,32,3,15-Sep,D,04-Sep,11,1,0
DR,32,4,15-Sep,D,04-Sep,11,1,0
DR,32,5,30-Sep,D,04-Sep,26,1,0
DR,32,6,01-Oct,D,04-Sep,27,1,0
DR,32,7,02-Oct,D,04-Sep,28,1,0
DR,32,8,02-Oct,D,04-Sep,28,1,0
DR,32,9,03-Oct,D,04-Sep,29,1,0
DR,32,10,05-Oct,D,04-Sep,31,1,0
FO,33,1,20-Sep,D,04-Sep,16,1,0
FO,33,2,20-Sep,D,04-Sep,16,1,0
FO,33,3,24-Sep,D,04-Sep,20,1,0
FO,33,4,24-Sep,D,04-Sep,20,1,0
FO,33,5,25-Sep,L,04-Sep,21,0,0
FO,33,6,26-Sep,D,04-Sep,22,1,0
FO,33,7,26-Sep,D,04-Sep,22,1,0
FO,33,8,27-Sep,D,04-Sep,23,1,0
FO,33,9,29-Sep,D,04-Sep,25,1,0
FO,33,10,03-Oct,D,04-Sep,29,1,0
F,34,1,16-Sep,D,04-Sep,12,1,0
F,34,2,21-Sep,D,04-Sep,17,1,0
F,34,3,23-Sep,D,04-Sep,19,1,0
F,34,4,23-Sep,D,04-Sep,19,1,0
F,34,5,23-Sep,D,04-Sep,19,1,0
F,34,6,27-Sep,D,04-Sep,23,1,0
F,34,7,27-Sep,D,04-Sep,23,1,0
F,34,8,28-Sep,D,04-Sep,24,1,0
F,34,9,28-Sep,D,04-Sep,24,1,0
F,34,10,29-Sep,D,04-Sep,25,1,0
DR,35,1,09-Sep,W,04-Sep,5,0,0
DR,35,2,09-Sep,M,04-Sep,5,1,0
DR,35,3,24-Sep,L,04-Sep,20,0,0
DR,35,4,28-Sep,D,04-Sep,24,1,0
DR,35,5,28-Sep,D,04-Sep,24,1,0
DR,35,6,29-Sep,D,04-Sep,25,1,0
DR,35,7,01-Oct,D,04-Sep,27,1,1
DR,35,8,02-Oct,D,04-Sep,28,1,1
DR,35,9,04-Oct,D,04-Sep,30,1,1
DR,35,10,04-Oct,D,04-Sep,30,1,1
DR,36,1,09-Sep,W,04-Sep,5,0,0
DR,36,2,25-Sep,D,04-Sep,21,1,1
DR,36,3,25-Sep,D,04-Sep,21,1,1
DR,36,4,25-Sep,D,04-Sep,21,1,1
DR,36,5,27-Sep,D,04-Sep,23,1,0
DR,36,6,27-Sep,D,04-Sep,23,1,0
DR,36,7,30-Sep,D,04-Sep,26,1,0
DR,36,8,03-Oct,D,04-Sep,29,1,0
DR,36,9,04-Oct,D,04-Sep,30,1,0
DR,36,10,06-Oct,D,04-Sep,32,1,0
FO,37,1,13-Sep,E,04-Sep,9,0,0
FO,37,2,19-Sep,D,04-Sep,15,1,1
FO,37,3,19-Sep,L,04-Sep,15,0,0
FO,37,4,20-Sep,D,04-Sep,16,1,1
FO,37,5,23-Sep,D,04-Sep,19,1,1
FO,37,6,24-Sep,D,04-Sep,20,1,1
FO,37,7,24-Sep,D,04-Sep,20,1,1
FO,37,8,24-Sep,D,04-Sep,20,1,1
FO,37,9,26-Sep,D,04-Sep,22,1,0
FO,37,10,02-Oct,D,04-Sep,28,1,0
DR,38,1,09-Sep,W,04-Sep,5,0,0
DR,38,2,09-Sep,L,04-Sep,5,0,0
DR,38,3,09-Sep,L,04-Sep,5,0,0
DR,38,4,28-Sep,D,04-Sep,24,1,0
DR,38,5,28-Sep,D,04-Sep,24,1,0
DR,38,6,29-Sep,D,04-Sep,25,1,0
DR,38,7,30-Sep,D,04-Sep,26,1,0
DR,38,8,04-Oct,D,04-Sep,30,1,0
DR,38,9,04-Oct,D,04-Sep,30,1,0
DR,38,10,05-Oct,D,04-Sep,31,1,0
DRO,39,1,09-Sep,L,04-Sep,5,0,0
DRO,39,2,16-Sep,M,04-Sep,12,1,0
DRO,39,3,20-Sep,D,04-Sep,16,1,0
DRO,39,4,28-Sep,D,04-Sep,24,1,0
DRO,39,5,28-Sep,D,04-Sep,24,1,0
DRO,39,6,01-Oct,D,04-Sep,27,1,0
DRO,39,7,02-Oct,D,04-Sep,28,1,0
DRO,39,8,04-Oct,D,04-Sep,30,1,0
DRO,39,9,04-Oct,D,04-Sep,30,1,0
DRO,39,10,06-Oct,D,04-Sep,32,1,0
DRO,40,1,19-Sep,E,04-Sep,15,0,0
DRO,40,2,22-Sep,M,04-Sep,18,1,0
DRO,40,3,25-Sep,L,04-Sep,21,0,0
DRO,40,4,28-Sep,D,04-Sep,24,1,0
DRO,40,5,28-Sep,D,04-Sep,24,1,0
DRO,40,6,30-Sep,D,04-Sep,26,1,0
DRO,40,7,02-Oct,D,04-Sep,28,1,0
DRO,40,8,04-Oct,D,04-Sep,30,1,1
DRO,40,9,04-Oct,D,04-Sep,30,1,1
DRO,40,10,04-Oct,D,04-Sep,30,1,1
